CarModel,Acceleration,TopSpeed,Range,Efficiency,Drive,NumberofSeats,Price
Opel Ampera-e ,7.3,150,335,173,Front Wheel Drive,5,3500000
Renault Kangoo Maxi ZE 33,22.4,130,160,194,Front Wheel Drive,5,2850000
Nissan Leaf ,7.9,144,220,164,Front Wheel Drive,5,3200000
Audi e-tron Sportback 55 quattro,5.7,200,375,231,All Wheel Drive,5,7500000
Porsche Taycan Turbo S,2.8,260,390,215,All Wheel Drive,4,12000000
Nissan e-NV200 Evalia ,14,123,165,218,Front Wheel Drive,7,4050000
Volkswagen ID.3 Pure Performance,8.9,160,275,164,Rear Wheel Drive,5,3700000
BMW iX3 ,6.8,180,385,192,Rear Wheel Drive,5,5200000
Nissan Leaf e+,7.3,157,325,172,Front Wheel Drive,5,3600000
BMW i3 120 Ah,7.3,150,235,161,Rear Wheel Drive,4,4100000
Mercedes EQA 250,8.9,160,355,187,Front Wheel Drive,5,4500000
DS 3 Crossback E-Tense,8.7,150,250,180,Front Wheel Drive,5,3800000
BMW i3s 120 Ah,6.9,160,230,165,Rear Wheel Drive,4,4300000
Sono Sion ,9,140,260,181,Front Wheel Drive,5,3000000
Audi e-tron GT RS,3.3,250,405,210,All Wheel Drive,4,9500000
Kia e-Soul 64 kWh,7.9,167,370,173,Front Wheel Drive,5,4200000
Renault Zoe ZE50 R110,11.4,135,315,165,Front Wheel Drive,5,3100000
Hyundai IONIQ Electric,9.7,165,250,153,Front Wheel Drive,5,3900000
Lightyear One ,10,150,575,104,All Wheel Drive,5,15000000
Tesla Roadster ,2.1,410,970,206,All Wheel Drive,4,20000000
Peugeot e-208 ,8.1,150,275,164,Front Wheel Drive,5,3300000
Honda e ,9,145,170,168,Rear Wheel Drive,4,3650000
CUPRA Born 110 kW - 55 kWh,8.9,160,275,164,Rear Wheel Drive,5,4000000
Audi Q4 e-tron 35,9,160,280,184,Rear Wheel Drive,5,4400000
Tesla Model Y Long Range Dual Motor,5.1,217,450,169,All Wheel Drive,7,5500000
Tesla Model Y Performance,3.7,241,430,177,All Wheel Drive,7,6500000
Porsche Taycan 4 Cross Turismo,5.1,220,405,207,All Wheel Drive,4,11000000
Skoda Enyaq iV 50,11.3,160,295,176,Rear Wheel Drive,5,4200000
Volkswagen e-Up! ,11.9,130,205,158,Front Wheel Drive,4,2800000
SEAT Mii Electric ,12.3,130,205,158,Front Wheel Drive,4,2500000
Opel Corsa-e ,8.1,150,275,164,Front Wheel Drive,5,3400000
MG ZS EV,8.2,140,220,193,Front Wheel Drive,5,3000000
Volkswagen ID.3 Pro,9.6,160,350,166,Rear Wheel Drive,5,3900000
Volkswagen ID.3 Pro S,7.9,160,450,171,Rear Wheel Drive,4,4200000
Hyundai Kona Electric 64 kWh,7.9,167,395,162,Front Wheel Drive,5,4500000
Renault Zoe ZE50 R135,9.5,140,310,168,Front Wheel Drive,5,3200000
Peugeot e-2008 SUV ,8.5,150,250,180,Front Wheel Drive,5,3800000
Audi e-tron 50 quattro,6.8,190,280,231,All Wheel Drive,5,6000000
Porsche Taycan Turbo,3.2,260,400,209,All Wheel Drive,4,11500000
Smart EQ fortwo coupe,11.6,130,100,167,Rear Wheel Drive,2,2400000
Smart EQ fortwo cabrio,11.9,130,95,176,Rear Wheel Drive,2,2600000
Smart EQ forfour ,12.7,130,95,176,Rear Wheel Drive,4,2800000
Honda e Advance,8.3,145,170,168,Rear Wheel Drive,4,3800000
Byton M-Byte 72 kWh 2WD,7.5,190,325,222,Rear Wheel Drive,5,5500000
Byton M-Byte 95 kWh 4WD,5.5,190,390,244,All Wheel Drive,5,6500000
Renault Zoe ZE40 R110,11.4,135,255,161,Front Wheel Drive,5,2900000
Porsche Taycan 4S,4,250,375,189,All Wheel Drive,4,9000000
Porsche Taycan 4S Plus,4,250,435,192,All Wheel Drive,4,9500000
Hyundai Kona Electric 39 kWh,9.9,155,250,157,Front Wheel Drive,5,3500000
Mercedes EQV 300 Long,12.1,160,320,281,Front Wheel Drive,7,7000000
Mazda MX-30 ,9.7,140,170,176,Front Wheel Drive,5,3500000
Ford Mustang Mach-E SR RWD,6.9,180,345,197,Rear Wheel Drive,5,5000000
Ford Mustang Mach-E ER RWD,7,180,440,200,Rear Wheel Drive,5,5500000
Ford Mustang Mach-E SR AWD,6.3,180,330,206,All Wheel Drive,5,6000000
Ford Mustang Mach-E ER AWD,5.8,180,420,210,All Wheel Drive,5,6500000
Ford Mustang Mach-E GT,4.4,200,410,215,All Wheel Drive,5,7000000
Audi e-tron Sportback 50 quattro,6.8,190,295,219,All Wheel Drive,5,6200000
Tesla Cybertruck Single Motor,7,180,390,256,Rear Wheel Drive,7,3900000
Tesla Cybertruck Dual Motor,5,190,460,261,All Wheel Drive,7,5000000
Tesla Cybertruck Tri Motor,3,210,750,267,All Wheel Drive,7,7000000
Lexus UX 300e,7.5,160,260,192,Front Wheel Drive,5,4500000
BMW i4 eDrive40,5.7,190,475,170,Rear Wheel Drive,5,5500000
Audi e-tron 55 quattro,5.7,200,365,237,All Wheel Drive,5,8000000
Aiways U5 ,7.5,150,335,188,Front Wheel Drive,5,3500000
Renault Twingo Electric,12.6,135,130,164,Rear Wheel Drive,4,2700000
Audi e-tron S 55 quattro,4.5,210,320,270,All Wheel Drive,5,8500000
Audi e-tron S Sportback 55 quattro,4.5,210,335,258,All Wheel Drive,5,9000000
Volkswagen ID.4 1st,8.5,160,410,188,Rear Wheel Drive,5,4000000
Byton M-Byte 95 kWh 2WD,7.5,190,400,238,Rear Wheel Drive,5,6000000
Fiat 500e Cabrio,9,150,245,152,Front Wheel Drive,4,3300000
Opel Mokka-e ,8.5,150,255,176,Front Wheel Drive,5,3800000
Skoda Enyaq iV 60,8.7,160,330,176,Rear Wheel Drive,5,4700000
Skoda Enyaq iV 80,8.6,160,420,183,Rear Wheel Drive,5,5000000
Skoda Enyaq iV 80X,6.9,160,405,190,All Wheel Drive,5,5200000
Skoda Enyaq iV RS,6.2,180,395,195,All Wheel Drive,5,6000000
Fiat 500e Hatchback 42 kWh,9,150,250,149,Front Wheel Drive,4,3200000
Citroen e-C4 ,9.7,150,250,180,Front Wheel Drive,5,3600000
Jaguar I-Pace EV400,4.8,200,365,232,All Wheel Drive,5,7500000
Kia e-Soul 64 kWh,7.9,167,370,173,Front Wheel Drive,5,4300000
Kia e-Soul 39 kWh,9.9,157,230,170,Front Wheel Drive,5,4000000
Audi Q4 Sportback e-tron 35,9,160,295,175,Rear Wheel Drive,5,4800000
Nissan Ariya 63kWh,7.5,160,335,188,Front Wheel Drive,5,5500000
Nissan Ariya 87kWh,7.6,160,445,196,Front Wheel Drive,5,6500000
Nissan Ariya e-4ORCE 63kWh,5.9,200,325,194,All Wheel Drive,5,5800000
Nissan Ariya e-4ORCE 87kWh,5.7,200,420,207,All Wheel Drive,5,6800000
Nissan Ariya e-4ORCE 87kWh Performance,5.1,200,385,226,All Wheel Drive,5,7500000
Volkswagen ID.3 Pro Performance,7.3,160,350,166,Rear Wheel Drive,5,8000000
MG MG5 EV,7.7,185,295,165,Front Wheel Drive,5,8200000
Volkswagen ID.4 Pro Performance,8.5,160,410,188,Rear Wheel Drive,5,8500000
Mercedes EQV 300 Extra-Long,12.1,160,320,281,Front Wheel Drive,7,3000000
Lucid Air Grand Touring,3.2,270,660,167,All Wheel Drive,5,5500000
Lucid Air Touring,3.4,250,530,160,All Wheel Drive,5,9500000
Lucid Air Pure,4.2,200,540,157,Rear Wheel Drive,5,10000000
Dacia Spring Electric,15,125,170,158,Front Wheel Drive,4,8000000
Tesla Model 3 Standard Range Plus LFP,5.6,225,340,150,Rear Wheel Drive,5,13000000
Tesla Model 3 Long Range Dual Motor,4.4,233,455,154,All Wheel Drive,5,8500000
Tesla Model 3 Performance,3.3,261,470,162,All Wheel Drive,5,14000000
Fiat 500e Hatchback 24 kWh,9.5,135,165,144,Front Wheel Drive,4,3500000
Fiat 500e 3+1,9,150,245,152,Front Wheel Drive,4,2800000
Mercedes EQC 400 4MATIC,5.1,180,370,216,All Wheel Drive,5,3900000
Kia e-Niro 64 kWh,7.8,167,370,173,Front Wheel Drive,5,9500000
Kia e-Niro 39 kWh,9.8,155,235,167,Front Wheel Drive,5,5800000
Citroen e-SpaceTourer XS 50 kWh,12.1,130,185,243,Front Wheel Drive,7,3800000
Citroen e-SpaceTourer M 50 kWh,12.1,130,185,243,Front Wheel Drive,7,4500000
Citroen e-SpaceTourer XL 50 kWh,12.1,130,180,250,Front Wheel Drive,7,11000000
Citroen e-SpaceTourer M 75 kWh,13.3,130,270,252,Front Wheel Drive,7,12000000
Citroen e-SpaceTourer XL 75 kWh,13.3,130,270,252,Front Wheel Drive,7,13000000
Opel Zafira-e Life S 50 kWh,12.1,130,185,243,Front Wheel Drive,7,6500000
Opel Zafira-e Life M 50 kWh,12.1,130,185,243,Front Wheel Drive,7,6000000
Opel Zafira-e Life L 50 kWh,12.1,130,180,250,Front Wheel Drive,7,7500000
Opel Zafira-e Life M 75 kWh,13.3,130,270,252,Front Wheel Drive,7,3000000
Opel Zafira-e Life L 75 kWh,13.3,130,270,252,Front Wheel Drive,7,4500000
Peugeot e-Traveller Compact 50 kWh,12.1,130,185,243,Front Wheel Drive,7,5000000
Peugeot e-Traveller Standard 50 kWh,13.1,130,185,243,Front Wheel Drive,7,5500000
Peugeot e-Traveller Long 50 kWh,13.1,130,185,243,Front Wheel Drive,7,6000000
Peugeot e-Traveller Standard 75 kWh,13.3,130,270,252,Front Wheel Drive,7,6500000
Peugeot e-Traveller Long 75 kWh,13.3,130,270,252,Front Wheel Drive,7,4500000
Audi e-tron 55 quattro,5.7,130,365,237,All Wheel Drive,5,5000000
Audi e-tron Sportback 55 quattro,5.7,200,375,231,All Wheel Drive,5,5500000
Seres 3 ,8.9,200,270,193,Front Wheel Drive,5,9000000
Hyundai IONIQ 5 Project 45,5.2,155,370,196,All Wheel Drive,5,10000000
Porsche Taycan ,5.4,185,395,180,Rear Wheel Drive,4,4200000
Porsche Taycan Plus,5.4,230,460,182,Rear Wheel Drive,4,5500000
Tesla Model S Long Range,3.2,230,555,162,All Wheel Drive,5,6000000
Tesla Model S Plaid,2.1,250,535,168,All Wheel Drive,5,6500000
Tesla Model X Long Range,3.9,322,475,189,All Wheel Drive,7,4000000
Tesla Model X Plaid,2.6,250,455,198,All Wheel Drive,7,5500000
Mini Cooper SE ,7.3,262,185,156,Front Wheel Drive,4,5800000
JAC iEV7s ,12,150,225,173,Front Wheel Drive,5,6800000
Volkswagen ID.4 Pure Performance,9,132,285,182,Rear Wheel Drive,5,7500000
Audi e-tron GT quattro,4.1,160,420,202,All Wheel Drive,4,3800000
Volvo C40 Recharge,4.7,245,340,221,All Wheel Drive,5,5000000
Hyundai Kona Electric 39 kWh,9.9,180,250,157,Front Wheel Drive,5,5500000
Hyundai Kona Electric 64 kWh,7.9,155,395,162,Front Wheel Drive,5,6000000
Porsche Taycan 4S Cross Turismo,4.1,167,405,207,All Wheel Drive,4,4000000
Porsche Taycan Turbo Cross Turismo,3.3,240,385,217,All Wheel Drive,4,5500000
Porsche Taycan Turbo S Cross Turismo,2.9,250,380,220,All Wheel Drive,4,7500000
Kia EV6 GT,3.5,250,395,196,All Wheel Drive,5,12000000
BMW iX xDrive40,6.1,260,350,203,All Wheel Drive,5,10000000
BMW iX xDrive50,4.6,200,505,208,All Wheel Drive,5,8000000
MG MG5 Electric,8.3,200,340,168,Front Wheel Drive,5,2200000
MG Marvel R Performance,4.9,180,330,197,All Wheel Drive,5,3800000
Hyundai IONIQ 5 Standard Range 2WD,8.5,200,310,187,Rear Wheel Drive,5,4800000
Hyundai IONIQ 5 Standard Range AWD,6.1,185,305,190,All Wheel Drive,5,5500000
Hyundai IONIQ 5 Long Range 2WD,7.4,185,385,189,Rear Wheel Drive,5,3000000
Hyundai IONIQ 5 Long Range AWD,5.2,185,375,194,All Wheel Drive,5,4500000
Kia EV6 Standard Range 2WD,8.5,185,320,181,Rear Wheel Drive,5,5000000
Kia EV6 Long Range 2WD,7.5,185,420,184,Rear Wheel Drive,5,3200000
Kia EV6 Long Range AWD,5.4,185,410,189,All Wheel Drive,5,3600000
Mercedes EQS 450+,6.2,185,640,168,Rear Wheel Drive,5,6500000
Mercedes EQS 580 4MATIC,4.3,210,610,177,All Wheel Drive,5,4700000
Tesla Model 3 Standard Range Plus,5.6,210,340,147,Rear Wheel Drive,5,4200000
Polestar 2 Standard Range Single Motor,7.4,225,350,174,Front Wheel Drive,5,5500000
Polestar 2 Long Range Single Motor,7.4,160,425,176,Front Wheel Drive,5,6000000
Polestar 2 Long Range Dual Motor,4.7,160,395,190,All Wheel Drive,5,6500000
Volkswagen ID.4 Pure,10.9,205,285,182,Rear Wheel Drive,5,7000000
Audi Q4 e-tron 40,8.5,160,405,189,Rear Wheel Drive,5,5800000
Audi Q4 e-tron 50 quattro,6.2,160,385,199,All Wheel Drive,5,6200000
Audi Q4 Sportback e-tron 50 quattro,6.2,180,400,192,All Wheel Drive,5,6800000
Mercedes EQB 350 4MATIC,6.5,180,340,196,All Wheel Drive,7,7500000
Volkswagen ID.4 GTX,6.2,160,400,193,All Wheel Drive,5,8000000
Mercedes EQA 300 4MATIC,7.7,180,350,190,All Wheel Drive,5,8200000
Mercedes EQA 350 4MATIC,6,160,350,190,All Wheel Drive,5,8500000
Toyota PROACE Verso M 50 kWh,12.1,160,185,243,Front Wheel Drive,7,3000000
Toyota PROACE Verso L 50 kWh,12.1,130,180,250,Front Wheel Drive,7,5500000
Toyota PROACE Verso M 75 kWh,13.1,130,270,252,Front Wheel Drive,7,9500000
Toyota PROACE Verso L 75 kWh,13.1,130,270,252,Front Wheel Drive,7,10000000
CUPRA Born 150 kW - 62 kWh,7.3,130,350,166,Rear Wheel Drive,5,8000000
CUPRA Born 170 kW - 62 kWh,6.6,160,345,168,Rear Wheel Drive,5,13000000
CUPRA Born 170 kW - 82 kWh,7,160,450,171,Rear Wheel Drive,5,8500000
BMW i4 M50,3.9,160,450,179,All Wheel Drive,5,14000000
Volvo XC40 Recharge Twin Pure Electric,4.9,225,340,221,All Wheel Drive,5,2625000
Renault Megane E-Tech Electric,8,180,335,179,Front Wheel Drive,5,2100000
Peugeot e-Rifter Standard 50 kWh,11.7,160,200,225,Front Wheel Drive,7,2925000
Peugeot e-Rifter Long 50 kWh,11.7,135,195,231,Front Wheel Drive,7,7125000
MG Marvel R ,7.9,135,340,191,Rear Wheel Drive,5,4350000
Tesla Model 3 Long Range Dual Motor,4.4,200,490,155,All Wheel Drive,5,2850000
MG MG5 EV Long Range,7.7,233,340,168,Front Wheel Drive,5,3375000
Audi Q4 e-tron 45 quattro,6.9,185,385,199,All Wheel Drive,5,8250000
Audi Q4 Sportback e-tron 40,8.5,180,425,180,Rear Wheel Drive,5,9000000
